"Table S6. Quasi-likelihood F-tests for NS0794 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
Glutathione biosynthesis bifunctional protein GshAB,-0.758149666,8.176532714,3.913785687,0.113850836,0.99577859
Carbamoyl-phosphate synthase pyrimidine-specific large chain,-2.444217016,8.448060086,3.891869627,0.114605109,0.99577859
Type I phosphodiesterase / nucleotide pyrophosphatase,1.034157667,3.639733786,3.841256551,0.116375943,0.99577859
Aspartate carbamoyltransferase,-3.355468999,6.188642929,3.837111701,0.116522754,0.99577859
Na+/H+ antiporter NhaC,-1.233803849,8.478577311,3.828024186,0.116845643,0.99577859
Pyruvate dehydrogenase E1 component subunit alpha,-0.850457312,10.48749341,3.803548001,0.117722035,0.99577859
Type I DNA topoisomerase,-1.719626487,5.197025348,3.798492173,0.117904296,0.99577859
Phenylalanine--tRNA ligase alpha subunit,-1.351437626,5.426451867,3.63760346,0.123932762,0.99577859
L-lactate dehydrogenase,-1.186719207,11.14318503,3.632078675,0.124147934,0.99577859
"HAD hydrolase, family IA",0.942781636,6.389787875,3.586508268,0.12594439,0.99577859
MurR/RpiR family transcriptional regulator,-0.781603116,5.980200273,3.536471406,0.127962316,0.99577859
"Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",-1.561240556,7.306439289,3.509323331,0.129077583,0.99577859
"L-2,4-diaminobutyrate decarboxylase",-1.65728557,11.99506259,3.466665241,0.130859802,0.99577859
Divalent metal cation transporter MntH,-1.158535691,8.227422829,3.390377499,0.134140778,0.99577859
DUF916 domain-containing protein,0.825304826,1.009804206,3.362770805,0.135381552,0.99577859
DUF378 domain-containing protein,4.643841176,5.927600728,3.346611681,0.136079403,0.99577859
Bifunctional protein pyrR,-2.373921342,4.459159645,3.31087965,0.137693569,0.99577859
Phosphate import ATP-binding protein PstB 1,1.013095682,8.525627864,3.289723974,0.138662916,0.99577859
DL-methionine transporter subunit membrane component protein of ABC superfamily,-0.812915112,0.145983213,3.285778221,0.138895597,0.99577859
Triosephosphate isomerase,-1.023143502,10.21726968,3.267661672,0.139684847,0.99577859
tRNA-Thr(cgt),1.245067499,-0.277882902,3.2588484,0.140219094,0.99577859
tRNA-Cys(gca),-2.251911172,1.498399588,3.227456388,0.141600314,0.99577859
IS982 family IS19 transposase,0.999434217,8.582938654,3.211795376,0.142324037,0.99577859
"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",-1.461498568,7.40544351,3.200786799,0.142852976,0.99577859
putative tRNA-dihydrouridine synthase,-0.924867469,5.073592035,3.187060423,0.143516674,0.99577859
tRNA-His(gtg),-0.934973001,3.004429872,3.178367085,0.143939481,0.99577859
Response regulator receiver,-1.133595329,2.550332996,3.071902951,0.149275939,0.99577859
ABC-F type ribosomal protection protein Msr(C),1.078598362,5.002154309,3.071082161,0.149315549,0.99577859
Adenylosuccinate synthetase,-0.803102509,7.860749837,3.012288433,0.152391727,0.99577859
NmrA-like family protein,-0.77065297,2.022551453,3.008178979,0.152615623,0.99577859
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase 1,-1.795617049,6.817726001,2.990087961,0.153578328,0.99577859
Peptide ABC transporter substrate-binding protein,0.683043426,4.545121682,2.970821548,0.154619507,0.99577859
PTS glucitol/sorbitol transporter subunit IIA,2.507847812,-0.500429541,2.962527273,0.155373761,0.99577859
Fructose-bisphosphate aldolase,-1.005277944,11.8593366,2.934395783,0.156617474,0.99577859
Phosphoglycerate kinase,-0.916996946,11.17017022,2.910337223,0.157958675,0.99577859
Malonyl CoA-acyl carrier protein transacylase,-1.678707412,8.917230177,2.903306337,0.158353923,0.99577859
Bacterial type II secretion system protein E domain-containing protein,0.682196528,8.763410676,2.885116057,0.159383509,0.99577859
DNA helicase UvrA,1.248271522,2.093470011,2.863177712,0.160644205,0.99577859
Alpha/beta hydrolase fold-5 domain-containing protein,0.63591508,6.565134471,2.853842208,0.161177579,0.99577859
MarR family transcriptional regulator,-1.062382722,8.423043084,2.83203412,0.16244687,0.99577859
DUF1836 domain-containing protein,-1.829343512,8.514145893,2.825664876,0.162820447,0.99577859
Coenzyme A disulfide reductase,-0.643425452,6.170743885,2.805368552,0.164019658,0.99577859
Magnesium transporter CorA,0.693577924,10.34157572,2.805022463,0.164040222,0.99577859
TRAM domain-containing protein,-0.674640519,7.408768795,2.787737883,0.165072314,0.99577859
Orotate phosphoribosyltransferase,-0.989452177,6.381182512,2.772944861,0.165963506,0.99577859
Glyceraldehyde-3-phosphate dehydrogenase,-0.836056996,13.09357376,2.73869608,0.16805514,0.99577859
IS982 family transposase,1.389973625,8.743988439,2.708656507,0.169922976,0.99577859
PTS sorbose transporter subunit IIB,1.108965935,4.909202,2.69963011,0.170490425,0.99577859
BsrC,4.183499828,6.250206857,2.698910004,0.170535839,0.99577859
SAM-dependent MTase RsmB/NOP-type domain-containing protein,-1.177011154,4.771962895,2.671881051,0.172253099,0.99577859
3-oxoacyl-[acyl-carrier-protein] reductase,-1.406522871,8.540767014,2.629249188,0.175015875,0.99577859
Na+/H+ antiporter,-1.048059827,7.518009219,2.615339705,0.175931952,0.99577859
NAD(P)-binding domain-containing protein,-0.59639534,7.408645099,2.611795866,0.176166521,0.99577859
GP-PDE domain-containing protein,1.185719441,9.604780283,2.602155525,0.176807047,0.99577859
PTS system beta-glucoside-specific IIABC component,1.101863082,4.408979312,2.597430265,0.177122315,0.99577859
Class I SAM-dependent methyltransferase,-0.864687515,9.286829259,2.571327502,0.178879419,0.99577859
Cell division protein DivIB,-1.523702606,7.675735047,2.562045407,0.179510681,0.99577859
Tagatose-6-phosphate kinase,-1.231744576,8.798331343,2.55657678,0.179884192,0.99577859
Polyprenol monophosphomannose synthase,0.691091989,10.42926618,2.554295849,0.180040333,0.99577859
Fructose-6-phosphate aldolase,3.016386352,2.042968736,2.54931458,0.180415887,0.99577859
LexA repressor,0.64597436,8.804564781,2.544326777,0.180725208,0.99577859
Cell division protein FtsH,-1.838903856,6.610401365,2.533346885,0.181484155,0.99577859
Orotidine 5'-phosphate decarboxylase,-1.065817572,6.509534319,2.524380741,0.182107536,0.99577859
Putative 6-phosphogluconate dehydrogenase YqeC,-1.896345912,5.428886042,2.481193583,0.185156663,0.99577859
FAD:protein FMN transferase,-2.376510184,6.066167854,2.481084167,0.185164486,0.99577859
NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein,-0.638622945,4.218885485,2.449933734,0.18741284,0.99577859
SpaH/EbpB family LPXTG-anchored major pilin,-1.058384272,0.423132144,2.443455384,0.187923804,0.99577859
Chitin-binding type-4 domain-containing protein,-1.569210131,1.792060887,2.4429407,0.187931907,0.99577859
Alkyl hydroperoxide reductase C,0.673177562,11.14159191,2.419012498,0.189686367,0.99577859
DNA-directed RNA polymerase subunit omega,0.717259274,9.187250371,2.417074591,0.189830265,0.99577859
VanZ/RDD domain-containing protein,-0.613719237,5.637492736,2.401507929,0.190992266,0.99577859
DUF1211 domain-containing protein,-0.634606951,3.459224804,2.389630325,0.191886288,0.99577859
L-ribulose-5-phosphate 4-epimerase UlaF,-0.762627074,1.916548012,2.38814073,0.192004065,0.99577859
Mannose-specific PTS system component IIC,-0.730104376,10.97367158,2.387920405,0.192015494,0.99577859
Response regulator,-1.111790488,2.170730576,2.384602055,0.192271864,0.99577859
Nitroreductase family protein,-0.739453296,6.014153169,2.37872535,0.192712735,0.99577859
Metal-independent alpha-mannosidase,-0.921952059,3.979256632,2.365865226,0.193694457,0.99577859
Tyrosine recombinase XerC,-0.77705821,5.713699432,2.36539678,0.193730349,0.99577859
Amidase,-0.67651971,6.864696886,2.362493297,0.193953122,0.99577859
Homing endonuclease LAGLIDADG domain-containing protein,0.625155344,3.407216174,2.341977358,0.195538566,0.99577859
NodB-like y domain-containing protein,-0.878204473,7.391559275,2.341132478,0.195604254,0.99577859
DUF4811 domain-containing protein,-1.670424368,5.235661179,2.332732228,0.196259512,0.99577859
Inosine-5'-monophosphate dehydrogenase,0.661378066,9.664274771,2.32515091,0.19685379,0.99577859
CTP synthase,-1.900303381,8.278057418,2.322340437,0.197074802,0.99577859
Altronate dehydratase,-0.658840625,3.960296762,2.322111351,0.197092847,0.99577859
Fungal lipase-like domain-containing protein,-1.488903542,2.863917615,2.310329948,0.198026203,0.99577859
Phosphate acetyltransferase,-0.809717289,10.33742436,2.298735019,0.1989463,0.99577859
Phosphoribosylformylglycinamidine synthase subunit PurL,2.407190424,4.895960589,2.283833797,0.200141879,0.99577859
MBL fold metallo-hydrolase,0.855244831,3.209673106,2.266938087,0.201510958,0.99577859
Glucosylglycerate phosphorylase,-1.032625482,2.481250205,2.252997364,0.202654045,0.99577859
tRNA-Arg(acg),-0.681792474,0.247092134,2.250694919,0.202885654,0.99577859
"PTS system, fructose-specific IIA component",-0.699761794,0.354894742,2.24706015,0.203174878,0.99577859
Glycine--tRNA ligase alpha subunit,-1.82044338,6.574505678,2.238429137,0.203854011,0.99577859
ATP synthase subunit alpha,-0.692297318,10.06111033,2.227283644,0.204781503,0.99577859
ATP-dependent protease subunit HslV,-1.103331306,5.58073791,2.212564648,0.20601641,0.99577859
putative tRNA-dihydrouridine synthase 1,-0.779168952,6.57636407,2.198804358,0.207181332,0.99577859
Bifunctional purine biosynthesis protein PurH,-0.709004671,2.046660905,2.196602212,0.207373824,0.99577859
AraC family transcriptional regulator,-0.711047305,6.202703889,2.187211724,0.208170681,0.99577859
Putative pyridoxal phosphate-dependent acyltransferase,1.901063614,6.488746551,2.186414698,0.20823897,0.99577859
3-oxoacyl-[acyl-carrier-protein] synthase 2,-1.0895432,9.987855516,2.173898789,0.209315899,0.99577859
DNA topoisomerase 4 subunit B,-0.658650387,7.427255588,2.164621778,0.210119717,0.99577859
"Brp/Blh family beta-carotene 15,15'-monooxygenase",0.592326209,10.5543076,2.155419493,0.210921799,0.99577859
ATP synthase gamma chain,-0.714515668,9.457721653,2.148436944,0.211533578,0.99577859
DUF969 domain-containing protein,0.56725857,7.303266032,2.147878264,0.211582646,0.99577859
"Alkyl hydroperoxide reductase, F subunit",0.594380058,12.36441614,2.140970581,0.212190797,0.99577859
Peptidyl-prolyl cis-trans isomerase,0.583903225,7.539748421,2.139775617,0.212296276,0.99577859
UPF0324 membrane protein YdhF,-0.703207328,5.495519521,2.125422584,0.213569605,0.99577859
DNA relaxase,0.745154855,8.379929883,2.122087415,0.21386718,0.99577859
Putative esterase,-0.737630815,6.790789594,2.120358376,0.214021706,0.99577859
ATP synthase subunit K,0.540569162,7.644795016,2.115822532,0.214427901,0.99577859
Choloylglycine hydrolase,-0.801361716,8.363989176,2.110000535,0.214951031,0.99577859
Pyruvate oxidase,-0.96980022,6.838860459,2.104835485,0.215416794,0.99577859
FMN-binding domain-containing protein,-0.82080735,10.81772233,2.094376998,0.216364713,0.99577859
putative endonuclease 4,-0.786547222,6.804464115,2.093856352,0.216412072,0.99577859
putative cell wall amidase lytH,0.62215247,3.938162692,2.088298083,0.21691868,0.99577859
Transmembrane protein,0.581854578,6.931985898,2.085186287,0.217203088,0.99577859
"Phage portal protein, HK97 family",-0.622846556,1.078232417,2.072410633,0.218390333,0.99577859
Lactose permease LacS,2.895103605,8.623308444,2.067138646,0.218864163,0.99577859
ATP-binding cassette domain-containing protein,-1.148153469,3.384003901,2.062124959,0.219329159,0.99577859
4-hydroxy-tetrahydrodipicolinate synthase,0.580930769,6.571393869,2.057948134,0.21971765,0.99577859
Shikimate dehydrogenase (NADP(+)),0.604800243,3.987019463,2.055569429,0.219939407,0.99577859
Formate--tetrahydrofolate ligase,1.109785542,6.750403302,2.050101556,0.220450438,0.99577859
tRNA-Leu(caa),-0.983602656,1.398709793,2.046881881,0.220763029,0.99577859
"Putative pyruvate, phosphate dikinase regulatory protein 2",0.57583635,7.069244294,2.042458807,0.221167856,0.99577859
Ribosome biogenesis GTPase A,-0.683031222,4.857360409,2.037244773,0.221659385,0.99577859
Cation efflux protein cytoplasmic domain-containing protein,-0.820329909,6.352322235,2.034770962,0.221893183,0.99577859
DEAD-box ATP-dependent RNA helicase CshB,-1.008312869,7.525040788,2.000766634,0.22514631,0.99577859
Molecular chaperone Hsp31 and glyoxalase 3,3.251653099,4.356019528,1.983586098,0.226820838,0.99577859
YvaA protein,-0.614489484,6.608141949,1.972228757,0.22793429,0.99577859
Group 1 glycosyl transferase,-0.656359784,-0.274357127,1.969555874,0.228280169,0.99577859
Ribonuclease HII,-1.229809857,5.573938814,1.964774145,0.22867145,0.99577859
Na+-driven multidrug efflux pump,0.759897009,6.88951168,1.934320862,0.23172193,0.99577859
Cysteine--tRNA ligase,-1.045553627,7.189896643,1.931960136,0.231961058,0.99577859
ATP synthase subunit c,-0.608741168,7.760296497,1.923990588,0.232771188,0.99577859
Glutamate--tRNA ligase,-0.789668888,10.09453294,1.920311875,0.233146637,0.99577859
Cell surface protein,0.945272507,1.64221019,1.918833704,0.233305906,0.99577859
Glucose-6-phosphate isomerase,-0.635509321,11.16100595,1.917954857,0.233387692,0.99577859
Flavoprotein NrdI,0.725985019,6.875619151,1.914105366,0.233782226,0.99577859
IS256 family IS256 transposase,-1.090811407,7.722168679,1.907384255,0.234473581,0.99577859
Formate acetyltransferase,-0.683786433,11.84360394,1.902181972,0.235010908,0.99577859
putative L-ascorbate-6-phosphate lactonase UlaG,-0.87166243,1.394670017,1.900749561,0.235169784,0.99577859
Diacylglycerol kinase catalytic subunit,0.5069294,7.306911824,1.896875571,0.23556098,0.99577859
1-acyl-sn-glycerol-3-phosphate acyltransferase,0.733785206,6.765909093,1.859104992,0.239535403,0.99577859
Cytosine-specific methyltransferase,-0.710298914,-1.443725737,1.850663562,0.240751849,0.99577859
HTH crp-type domain-containing protein,0.629863465,5.872487716,1.827309688,0.242963386,0.99577859
Enolase,-0.651913762,12.70422574,1.825463488,0.243164799,0.99577859
Multifunctional fusion protein,-0.700083842,6.662209293,1.823372589,0.243393226,0.99577859
Maltose epimerase,1.710491281,9.935604039,1.823009036,0.243432978,0.99577859
HAD-IA family hydrolase,-0.81146999,8.842670324,1.822806522,0.243455126,0.99577859
M protein trans-acting positive regulator HTH domain protein,0.638590029,4.442920893,1.820337725,0.243725388,0.99577859
Conjugative transposon protein,1.084737297,-2.434202612,1.797069436,0.246552472,0.99577859
putative transcriptional regulatory protein YeeN,-0.813766511,8.153981777,1.787336146,0.247383877,0.99577859
Energy-coupling factor transporter transmembrane protein EcfT,-0.874665394,5.582660161,1.771994976,0.249114144,0.99577859
Beta-galactosidase large subunit,1.217369518,5.023272453,1.767191246,0.249659869,0.99577859
Formate transporter,-0.75208362,5.13713814,1.76653165,0.249734947,0.99577859
Sugar (Glycoside-Pentoside-Hexuronide) transporter,-0.775713485,1.363675191,1.760347008,0.250450485,0.99577859
putative manganese-dependent inorganic pyrophosphatase,-0.655402835,9.042829682,1.756854582,0.250840571,0.99577859
Uridine kinase,0.490311658,8.590144225,1.751047211,0.251507795,0.99577859
Riboflavin biosynthesis protein,-0.581518238,6.007907232,1.750834681,0.251532267,0.99577859
LrgB family protein,0.652115608,3.668737325,1.749032208,0.251739979,0.99577859
Transporter,1.115026908,5.423529187,1.741223724,0.252642849,0.99577859
Cell envelope-related transcriptional attenuator domain-containing protein,0.580186619,10.3491741,1.738375537,0.252973455,0.99577859
Adenine deaminase,1.172761836,7.289175235,1.73376283,0.253510336,0.99577859
Glucitol/sorbitol permease IIC component,2.021913293,-0.53469513,1.732697707,0.253862301,0.99577859
D-alanine--D-alanyl carrier protein ligase,1.183686166,11.01060464,1.727132585,0.254285207,0.99577859
Histidine--tRNA ligase,-0.744227368,6.748693947,1.725094857,0.254524108,0.99577859
6-phospho-beta-glucosidase,1.567750232,8.87384172,1.722011788,0.25488624,0.99577859
Alpha-galactosidase,1.22963895,5.017267208,1.721693366,0.254923692,0.99577859
"Putative alcohol dehydrogenase, zinc-containing",-0.483057985,7.528078315,1.721601041,0.254934547,0.99577859
Acyltransferase,0.55016864,10.31975646,1.721074319,0.254996515,0.99577859
Alanine--tRNA ligase,-1.236207815,8.634275715,1.716941538,0.255483559,0.99577859
Valine--tRNA ligase,-0.707607737,8.648405806,1.712063049,0.256060383,0.99577859
Ribosomal RNA large subunit methyltransferase H,0.605510658,4.228603766,1.711259345,0.256155618,0.99577859
Phosphoribosylformylglycinamidine cyclo-ligase,-0.686706206,1.438928049,1.711131648,0.256178109,0.99577859
NADP-specific glutamate dehydrogenase,-0.491366241,8.223334599,1.711063423,0.256178832,0.99577859
Ribonuclease M5,-0.784543257,5.533033585,1.701176655,0.257355039,0.99577859
Lectin,-1.027531332,3.653668398,1.690372665,0.258650205,0.99577859
Branched-chain amino acid transporter,-1.227922045,4.22123717,1.680702664,0.259818195,0.99577859
Rrf2 family protein,0.533547433,4.507054349,1.680017708,0.25990124,0.99577859
Pyrrolidone-carboxylate peptidase,0.575941895,9.264281415,1.677271204,0.26023467,0.99577859
von Willebrand factor A,-0.560877298,1.688052169,1.670580529,0.26105697,0.99577859
Alcohol dehydrogenase iron-type/glycerol dehydrogenase GldA domain-containing protein,-1.62110644,5.401427525,1.660679119,0.262263544,0.99577859
ABC transporter substrate-binding protein,0.963260981,6.291008153,1.656112933,0.262826306,0.99577859
DUF4430 domain-containing protein,-0.692622646,4.0885641,1.649707038,0.263619059,0.99577859
ATP synthase subunit a,-0.74325165,9.102745016,1.643378255,0.264405993,0.99577859
Cytidylate kinase,-0.795580699,7.485535562,1.638515365,0.265013205,0.99577859
Nucleotide pyrophosphohydrolase,0.748297128,5.329702905,1.63778512,0.265104582,0.99577859
ABC transporter permease protein,-0.511171962,6.936693494,1.637509148,0.265139125,0.99577859
Aldehyde-alcohol dehydrogenase,0.88687784,12.74390043,1.632780545,0.26573215,0.99577859
Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,-1.007805606,9.125651672,1.632627221,0.265751414,0.99577859
Beta-ketoacyl-[acyl-carrier-protein] synthase III,-1.035925504,8.983196344,1.621401941,0.267167858,0.99577859
TraB protein,0.503631423,7.684201932,1.615133279,0.267964102,0.99577859
Ribonuclease BN,-0.595579966,7.697641991,1.61377102,0.268137636,0.99577859
M protein trans-acting positive regulator,-0.652751621,2.246633676,1.610621877,0.268541887,0.99577859
NH(3)-dependent NAD(+) synthetase,-0.51551037,7.974598318,1.601734116,0.269678807,0.99577859
Ribonuclease HIII,0.482526724,6.696738589,1.600687931,0.269813426,0.99577859
PTS system mannose-specific EIIAB component,-0.686677147,12.32073642,1.598515456,0.270093312,0.99577859
"Signal peptide protein, YSIRK family",-1.246824327,8.630057404,1.595794034,0.270444575,0.99577859
Putrescine-binding periplasmic protein,-1.025175649,5.441060835,1.586386366,0.271664495,0.99577859
DUF1803 domain-containing protein,-0.586514226,5.097678653,1.586146451,0.271695721,0.99577859
Beta-lactamase,0.63130365,7.667486983,1.575887047,0.273036385,0.99577859
Pyruvate kinase,-1.06995778,11.56976873,1.575466985,0.273091503,0.99577859
"V-type ATPase, subunit F",0.755910313,8.360051093,1.57370294,0.273323163,0.99577859
Epoxyqueuosine reductase QueH,0.871185649,5.630136972,1.570675591,0.273721459,0.99577859
23S methyl RNA motif,-0.648402855,3.129950826,1.570306784,0.27377008,0.99577859
Biotin carboxyl carrier protein of acetyl-CoA carboxylase,-0.833414833,9.0470111,1.567543481,0.274134513,0.99577859
DUF4828 domain-containing protein,0.757637299,5.670681387,1.564334887,0.274558692,0.99577859
SWIM-type domain-containing protein,0.626483881,4.643837107,1.559779099,0.275162781,0.99577859
PTS system fructose-specific EIIBBC component,-0.531292544,2.375994743,1.551661208,0.276244574,0.99577859
Mini-ribonuclease 3,-0.963147774,5.256916433,1.548159787,0.27671314,0.99577859
Biotin transporter,0.939839317,3.69719363,1.545774451,0.277033165,0.99577859
VanZ/RDD domain protein,-0.584133309,5.084741443,1.544579299,0.277193706,0.99577859
diphosphomevalonate decarboxylase,0.673184666,7.188768752,1.540321683,0.277766896,0.99577859
Phosphoribosylformylglycinamidine synthase subunit PurQ,2.139170317,3.287893495,1.538921374,0.277958188,0.99577859
putative potassium transport system protein Kup 2,-0.462157261,8.162013509,1.536438153,0.278291385,0.99577859
Isoleucine--tRNA ligase,-1.036546848,10.1163197,1.53519764,0.278459257,0.99577859
Release factor glutamine methyltransferase,-0.994749893,4.156558627,1.530770565,0.279059686,0.99577859
LPXTG cell wall anchor domain-containing protein,0.513996621,7.04430568,1.530275758,0.279126913,0.99577859
TIGR03943 family protein,-1.712180126,2.760784282,1.5297884,0.279197759,0.99577859
ImmA/IrrE family metallo-endopeptidase,0.612057048,8.859590423,1.528213483,0.279407426,0.99577859
Magnesium transporter MgtE,-0.661567229,7.717071559,1.525740823,0.279744356,0.99577859
Peptidase C56,-0.792191324,5.530454592,1.523259002,0.280083193,0.99577859
DUF3324 domain-containing protein,-0.522079582,3.499019869,1.520531393,0.280456364,0.99577859
Glycosyltransferase 2-like domain-containing protein,-1.127294807,8.81949703,1.514739504,0.28125136,0.99577859
Phosphosugar-binding transcriptional regulator,0.492370649,5.823177147,1.505169668,0.282572912,0.99577859
Peptidoglycan-binding protein LysM,-0.946636426,8.264999672,1.492036228,0.284402905,0.99577859
Peptidase S66,-0.784624097,4.561237454,1.481374957,0.285902505,0.99577859
Aspartate--tRNA(Asp/Asn) ligase,-1.113518836,7.972695604,1.476593529,0.286579189,0.99577859
AzlC family protein,-0.853324901,6.491545812,1.472608867,0.28714509,0.99577859
Replication initiation protein-like C-terminal domain-containing protein,0.735494076,6.935896163,1.464581819,0.288290577,0.99577859
Putative GMP synthase,0.528125251,4.811172672,1.463994387,0.288374698,0.99577859
Ferrichrome ABC transporter substrate-binding protein,-0.843980139,4.850351173,1.462969598,0.288521538,0.99577859
Phi13 family phage major tail protein,0.945896638,-0.897394588,1.462584668,0.288761318,0.99577859
tRNA-Asn(gtt),-1.195610305,3.419364014,1.455124714,0.289649657,0.99577859
Chaperonin GroEL,-0.546142511,10.37494663,1.452190007,0.290073466,0.99577859
Phosphoribosylformylglycinamidine synthase subunit PurS,1.810388159,0.610013997,1.450355928,0.290394558,0.99577859
Linoleate hydratase,-0.861617257,6.045283646,1.449220813,0.290503308,0.99577859
Bacterial bifunctional deaminase-reductase C-terminal domain-containing protein,-0.966000077,9.224335301,1.448203582,0.290650806,0.99577859
ATP-dependent RecD-like DNA helicase,-0.808939231,7.165546313,1.442541277,0.291474056,0.99577859
PucR C-terminal helix-turn-helix domain-containing protein,-0.692668662,6.44774531,1.437404393,0.29222418,0.99577859
DUF951 domain-containing protein,-0.968873718,4.328458415,1.436846941,0.292305778,0.99577859
Voltage-gated chloride channel family protein,0.495177866,3.83262276,1.43497276,0.292580367,0.99577859
HTH domain-containing protein,2.211938395,1.438268114,1.433989965,0.29275194,0.99577859
