"Table S4. Quasi-likelihood F-tests for VRE0008 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
3-methyladenine DNA glycosylase,1.08957202,3.804660488,44.83394338,0.000931274,0.042056775
Nucleoside deoxyribosyltransferase,-1.660338055,4.228467637,44.43336092,0.000951413,0.042056775
50S ribosomal protein L30,-1.261027302,8.46991585,44.02406035,0.000972615,0.042056775
Cell division protein ZapA,-0.955324219,5.388783619,43.96327103,0.00097582,0.042056775
DUF5626 domain-containing protein,1.317162344,1.65769636,43.5712585,0.000996905,0.042056775
C4-dicarboxylate ABC transporter,1.137645494,7.212090117,42.87979791,0.001035472,0.042056775
DUF971 domain-containing protein,1.111666782,7.085967043,42.83423567,0.00103809,0.042056775
"Fructose-1,6-bisphosphatase class 3",1.008217065,8.085989064,42.18355231,0.001076492,0.042056775
repetitive surface protein Esp,-0.945907409,7.717494611,42.173417,0.001077106,0.042056775
Energy-coupling factor transporter transmembrane protein EcfT,1.033814587,6.200471115,42.03141764,0.001085754,0.042056775
YHS domain-containing protein,-0.927172966,5.510860701,41.74879269,0.001103253,0.042056775
Mini-ribonuclease 3,1.053687717,6.046963211,40.90561176,0.001157836,0.042857953
translation initiation factor IF-1,-1.220138057,8.763983322,40.73264954,0.001169492,0.042857953
adenylate kinase,-1.440200931,9.036431456,40.29491075,0.001199725,0.042857953
"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",-1.368934508,10.0065108,40.24537002,0.001203214,0.042857953
Family 2 glycosyl transferase,1.174631177,7.077667728,39.99327449,0.00122119,0.042857953
Glucose-1-dehydrogenase,0.989456891,7.330619677,39.14860231,0.001284196,0.044364973
5-dehydro-2-deoxygluconokinase,-1.196149543,3.003720472,38.03945756,0.001373962,0.046567355
Cadmium-translocating P-type ATPase,1.042693681,9.128851584,37.85093322,0.00139007,0.046567355
cysteine--tRNA ligase,0.95284116,8.167244233,37.53940529,0.001417274,0.046770026
fructose-bisphosphate aldolase,-1.559832413,10.43410482,36.66681134,0.0014975,0.04713704
LacI family transcriptional regulator,-1.370045336,9.677563119,36.66581575,0.001497595,0.04713704
FGGY-C domain-containing protein,1.321312627,3.757427793,36.53280254,0.001510374,0.04713704
preprotein translocase subunit SecY,-1.41152675,11.40349231,36.49870899,0.001513672,0.04713704
D-Ala-D-Ala carboxypeptidase VanY-A,2.539826245,10.73344923,35.59744592,0.001604632,0.048052335
30S ribosomal protein S5,-1.273610799,9.58075157,35.43875574,0.001621425,0.048052335
Abortive phage resistance protein AbiGi (Putative antitoxin),1.164298507,6.663713555,35.03625669,0.001665123,0.048052335
CsbD family protein,0.962215812,8.385071718,34.91594411,0.0016785,0.048052335
aspartate-semialdehyde dehydrogenase,2.05634324,5.916640132,34.8578726,0.001685011,0.048052335
Maltodextrin-binding protein MdxE,-2.644406312,10.02336412,34.68034749,0.00170513,0.048052335
AP-endonuc-2 domain-containing protein,-1.111483813,1.996839804,34.42285052,0.001735003,0.048052335
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,1.007847778,8.712361086,34.27174565,0.001752718,0.048052335
Regulatory protein RecX,0.944221572,7.980908139,34.17108834,0.001764722,0.048052335
Holin,-1.060991159,2.802606122,34.15864382,0.001766221,0.048052335
DUF2382 domain-containing protein,1.423854732,8.767182259,33.91745974,0.001795478,0.048052335
Maltodextrose utilization protein MalA,-2.292550403,7.723046547,33.7600943,0.001814934,0.048052335
Ser/Thr phosphatase family protein,1.040253505,7.183327229,33.67482739,0.001825598,0.048052335
3-dmu-9-3-mt domain-containing protein,0.823342237,6.994656674,33.40942058,0.00185935,0.048364985
Alpha-galactosidase,1.2673793,10.17656492,33.20865816,0.001885458,0.048473802
nucleoside-diphosphate kinase,1.03874255,8.56730608,32.36291142,0.002001185,0.050349318
Cytokinin riboside 5'-monophosphate phosphoribohydrolase,-1.139125424,3.030679724,32.34355685,0.002003953,0.050349318
Accessory regulator AgrB,-1.248815146,12.55565343,31.64036959,0.002107974,0.051888993
Sugar kinase,-0.810663626,5.072211122,31.35202436,0.002152794,0.051888993
Phage-tail-N domain-containing protein,-0.828379597,5.132045007,31.27533206,0.002164936,0.051888993
Alcohol dehydrogenase catalytic domain-containing protein,1.050163884,9.039586546,31.04071807,0.002202674,0.051888993
YlaH-like protein,-0.899798415,3.877433047,30.99635204,0.002209914,0.051888993
30S ribosomal protein S13,-0.938011644,8.311687091,30.93086276,0.002220657,0.051888993
50S ribosomal protein L36,-1.122676183,6.469652873,30.83207085,0.002237003,0.051888993
EfmB,-0.938638307,5.898809183,30.73645781,0.002252982,0.051888993
tRNA-Ala(tgc),-1.339626278,3.184421943,30.52788105,0.002288398,0.052161309
S-ribosylhomocysteine lyase,1.951722225,9.694789045,30.12480927,0.002359031,0.052961941
D-alanine--poly(phosphoribitol) ligase subunit DltA,-0.93864043,6.48118047,29.94731913,0.002391094,0.052961941
Heat-shock protein Hsp20,1.063498135,6.034257018,29.86767856,0.002405677,0.052961941
RNA-binding protein KhpA,-1.103107857,7.065851382,29.66703288,0.002442966,0.052961941
Type IV secretory protein,-1.008755833,3.712471227,29.63357715,0.002449264,0.052961941
riboflavin biosynthesis protein RibF,1.064525217,5.530259002,29.52199649,0.00247042,0.052961941
B3-4 domain-containing protein,0.768520633,5.703709854,29.36618682,0.002500391,0.052961941
50S ribosomal protein L18,-1.157295265,9.406632569,29.19085292,0.002534721,0.052961941
Glutathione amide reductase,1.20451399,8.930398535,28.95037218,0.002582876,0.052961941
ATP-dependent helicase,0.821612285,8.001106092,28.93889095,0.002585206,0.052961941
SMK box translational riboswitch (SAM-III),-0.843429486,4.982884856,28.90307805,0.002592495,0.052961941
Peptidase C26,0.833744602,7.229011025,28.81292194,0.002610969,0.052961941
DUF2512 domain-containing protein,0.964512343,7.324030936,28.60738506,0.002653771,0.053340806
orotidine-5'-phosphate decarboxylase,-1.444727349,5.831150236,28.42353859,0.002692884,0.053400936
General stress protein GlsB,1.218635894,10.66850974,28.367019,0.002705068,0.053400936
Transcription activator effector-binding protein,1.036032314,7.012943867,27.3569097,0.002936301,0.057452763
beta-galactosidase,1.353470136,11.02199302,27.07690101,0.003005222,0.058285484
Ornithine cyclodeaminase,-1.010905074,2.167105023,26.60591206,0.003126424,0.060108909
Antitoxin,0.806756003,6.820111537,26.37732791,0.003187484,0.06075455
50S ribosomal protein L15,-1.401226605,9.251408234,26.04854818,0.003278445,0.060931618
Polyprenyl glycosylphosphotransferase,-1.14981438,4.042006974,25.95078731,0.003306185,0.060931618
HTH-type transcriptional regulator LacR,0.78942367,5.688626065,25.94269338,0.003308494,0.060931618
Chromosome partition protein Smc,-0.840304241,5.074836366,25.77948083,0.003355578,0.060931618
VanZ like family protein,-0.781661226,4.545287525,25.56566543,0.003418672,0.060931618
L-arabinose isomerase,0.878591552,5.206838625,25.50890641,0.003435695,0.060931618
IS256 family IS16 transposase,1.346577474,11.11879683,25.41055417,0.003465473,0.060931618
6-phospho-beta-glucosidase,-1.091078079,10.02163974,25.39955847,0.003468824,0.060931618
N-acetylmuramoyl-L-alanine amidase,-0.831349104,5.294012035,25.36177821,0.003480373,0.060931618
Peptide methionine sulfoxide reductase MsrA,0.798123399,7.829064463,25.31726641,0.003494048,0.060931618
Teichoic acid D-Ala incorporation-associated protein DltX,-0.968627127,1.753625307,25.13833848,0.003549943,0.060931618
Exo-glucosaminidase LytG,0.76247552,7.82010836,25.12416321,0.003554242,0.060931618
CsbD domain-containing protein,0.921649883,9.097702397,25.06423033,0.003573216,0.060931618
LapA-dom domain-containing protein,0.70505323,7.164834969,25.03348644,0.003583003,0.060931618
Coenzyme A disulfide reductase,0.778672909,7.983079796,24.94881685,0.00361015,0.060931618
PTS beta-glucoside transporter subunit IIBCA,-0.738397261,4.810423436,24.77395178,0.003667124,0.061423247
Signal peptide peptidase SppA,-0.747087418,5.934173672,24.69023371,0.00369484,0.061423247
membrane protein insertion efficiency factor YidD,0.762740017,4.732889849,24.25813082,0.003842606,0.063402995
DUF4879 domain-containing protein,1.24706936,9.370624061,23.96059676,0.003949141,0.063957823
primosomal protein DnaI,0.723585744,8.550167828,23.89204807,0.003974264,0.063957823
Tetratricopeptide repeat protein,0.900963494,5.636766244,23.83012967,0.003997147,0.063957823
alkaline shock response membrane anchor protein AmaP,1.146672138,11.67623273,23.77631801,0.004017182,0.063957823
DUF1330 domain-containing protein,-0.855712509,2.488464423,23.76685898,0.004020867,0.063957823
arginine--tRNA ligase,0.819297412,10.2994454,23.53374696,0.004109242,0.064488135
Nucleoid-associated protein,-0.700908291,5.860241339,23.52519551,0.004112541,0.064488135
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,-0.792703221,6.114775764,23.26687775,0.004213929,0.06475048
Peripla-BP-4 domain-containing protein,1.102459681,3.357770972,23.18129285,0.004248286,0.06475048
Carrier domain-containing protein,-0.738417717,5.017216436,23.093844,0.004283786,0.06475048
DUF1327 domain-containing protein,0.734139035,6.113135728,23.0676603,0.004294496,0.06475048
PTS system mannitol-specific EIICB component,0.903633053,7.529653782,23.04355902,0.004304387,0.06475048
Tn3 family transposase,1.054621159,10.43851741,23.00788172,0.004319086,0.06475048
class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,-0.801794623,5.46847856,22.97120629,0.00433427,0.06475048
rRNA processing protein,-1.311422121,7.224910723,22.81002543,0.00440188,0.06518677
DUF378 domain-containing protein,1.126696786,7.058356382,22.68818777,0.004453959,0.06518677
Riboflavin transporter,-0.90281415,8.556061915,22.68679396,0.00445456,0.06518677
Fe-S-biosyn domain-containing protein,0.71829011,7.557981126,22.59194557,0.004495702,0.06518677
uracil-DNA glycosylase,-0.664075976,6.542584477,22.53662386,0.004519942,0.06518677
phosphopyruvate hydratase,-1.053379983,12.33634136,22.35154925,0.00460236,0.06518677
Esterase,-0.730869309,4.202991093,22.19595028,0.00467327,0.06518677
Pyrimidine-specific ribonucleoside hydrolase RihB,-0.787698134,8.822153156,22.16581676,0.004687175,0.06518677
DJ-1/PfpI family protein,1.198053224,6.942362599,22.14508615,0.004696776,0.06518677
PTS cellobiose transporter subunit IIC,1.188579255,8.309602157,22.0144262,0.004757916,0.06518677
Protease synthase and sporulation negative regulatory protein PAI 1,0.786075799,4.750488325,21.9469598,0.004789918,0.06518677
Peptide ABC transporter permease,-0.999727365,7.364587836,21.92480519,0.004800491,0.06518677
glycerol-3-phosphate 1-O-acyltransferase PlsY,-0.677709908,6.023407733,21.84319188,0.004839721,0.06518677
Glutaredoxin-like protein NrdH,0.656585382,6.481999858,21.84012662,0.004841203,0.06518677
phage portal protein,-0.69991702,5.46088208,21.7745471,0.004873062,0.06518677
Cadherin domain-containing protein,-1.173102596,4.578250779,21.74052871,0.004889704,0.06518677
LD-carboxypeptidase,0.713639912,4.743593835,21.73150292,0.004894131,0.06518677
UPF0756 membrane protein HMPREF3199_02377,0.886203774,8.592610988,21.71764401,0.004900941,0.06518677
phage major capsid protein,-0.960086122,6.440092844,21.6716234,0.00492365,0.06518677
"ABC-type spermidine/putrescine transport system, permease component I",0.799087033,5.582358319,21.35535153,0.005083724,0.066749372
DNA-entry nuclease,-0.675698234,6.572709659,21.21597732,0.005156554,0.066749372
Spermidine/putrescine ABC transporter permease PotC,0.810615839,5.729520699,21.10630922,0.00521488,0.066749372
Xanthine/uracil/vitamin C permease,-0.829326759,4.30102607,21.0925473,0.005222265,0.066749372
Glyoxalase,1.254003255,7.677611999,21.05657857,0.005241629,0.066749372
DUF910 domain-containing protein,-0.711050124,4.660934044,21.05019675,0.005245076,0.066749372
Transglycosylase SLT domain-containing protein,-0.680211826,5.207895858,21.03553924,0.005253004,0.066749372
30S ribosomal protein S16,-1.058147113,7.760788138,20.69450775,0.005442227,0.068735832
GlsB/YeaQ/YmgE family stress response membrane protein,0.680138643,6.961807529,20.64319817,0.005471509,0.068735832
DUF2273 domain-containing protein,0.990053759,8.527951205,20.50377638,0.005552185,0.069214153
tryptophan ABC transporter substrate-binding protein,0.897379464,5.508614028,20.46963322,0.005572193,0.069214153
Asp23/Gls24 family envelope stress response protein,1.087590574,12.06798236,20.3914531,0.005618383,0.069265392
putative potassium transport system protein kup,0.866608985,8.079062986,20.32216089,0.005659766,0.069265392
General stress protein A,1.00423176,7.20936323,20.28448359,0.005682445,0.069265392
aspartate kinase,1.718990218,5.747278314,20.25277491,0.005701629,0.069265392
"Beta-1,6-N-acetylglucosaminyltransferase",0.913950001,6.32897483,20.06609136,0.005816409,0.06966125
Mannitol-specific phosphotransferase enzyme IIA component,0.935028163,4.701267326,19.91649946,0.005910704,0.06966125
5-formyltetrahydrofolate cyclo-ligase,-0.655899025,5.120895222,19.8992967,0.005921683,0.06966125
Membrane-spanning protein,0.666092933,6.657889897,19.86701944,0.005942358,0.06966125
DUF368 domain-containing protein,-0.670381106,5.448912431,19.84119429,0.005958974,0.06966125
FMN riboswitch (RFN element),-0.85078276,6.537127618,19.80394444,0.005983052,0.06966125
undecaprenyl-diphosphate phosphatase,-0.727472266,8.116491018,19.73901089,0.006025348,0.06966125
Putative 3-methyladenine DNA glycosylase,-0.680600125,5.424198973,19.65936767,0.006077793,0.06966125
DUF1294 domain-containing protein,-0.859740932,2.192293743,19.64971582,0.006084401,0.06966125
Glycerol uptake facilitator protein,1.071485706,11.11063374,19.64792088,0.006085382,0.06966125
Hydrolase,0.67361082,7.685962137,19.37142667,0.00627276,0.06966125
SsrA-binding protein SmpB,0.707641848,7.030031524,19.28382704,0.00633379,0.06966125
guanylate kinase,-0.646720007,8.04886874,19.27432131,0.006340462,0.06966125
Muramidase-2,-0.755025279,7.810200269,19.25350401,0.006355107,0.06966125
DNA mismatch repair protein MutT,0.825049813,4.518845719,19.22102316,0.006378052,0.06966125
Hemin import ATP-binding protein HrtA,0.810844396,2.958743696,19.20126781,0.006392071,0.06966125
50S ribosomal protein L6,-1.103442587,10.5601655,19.14157334,0.00643466,0.06966125
signal recognition particle protein,0.689933787,7.246085591,19.13595419,0.00643869,0.06966125
Glycerate kinase,0.686881444,5.629818384,19.1260575,0.006445796,0.06966125
Transposon Tn1546 resolvase,0.97480592,6.938091094,19.03309255,0.006513082,0.06966125
putative phosphoketolase,0.761176595,7.316162096,18.97815338,0.006553303,0.06966125
F0F1 ATP synthase subunit epsilon,0.681218505,8.539699849,18.9563056,0.006569393,0.06966125
PTS dihydroxyacetone transporter,-0.723924612,6.11139495,18.93294315,0.00658666,0.06966125
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD,0.934278823,7.589321775,18.92412754,0.006593191,0.06966125
Colicin V production protein CvpA,-0.782565556,5.725838014,18.88428192,0.006622826,0.06966125
DUF4383 domain-containing protein,1.126282578,3.447291417,18.79677102,0.006688565,0.06966125
30S ribosomal protein S20,-0.932824122,9.156437558,18.7868388,0.006696078,0.06966125
Aldolase,1.611820293,9.181666696,18.75580111,0.006719646,0.06966125
LAGLIDADG-2 domain-containing protein,0.911021599,3.714941908,18.74342439,0.006729079,0.06966125
AarF/ABC1/UbiB kinase family protein,0.668492597,7.653878203,18.73980515,0.006731837,0.06966125
PepSY domain-containing protein,-0.714614592,5.660876557,18.71558065,0.006750358,0.06966125
DNA mismatch repair protein mutS,0.758715325,7.33587899,18.65943293,0.006793557,0.06966125
IS6 family transposase ORF A,1.733801785,7.97667673,18.65223329,0.006799124,0.06966125
F0F1 ATP synthase subunit A,0.709218575,9.472823575,18.64407289,0.006805441,0.06966125
YajQ family cyclic di-GMP-binding protein,-1.058199278,6.607552088,18.54799361,0.006880436,0.069909963
ribonuclease R,0.693474062,9.377900679,18.53206876,0.006892977,0.069909963
3-oxoacyl-[acyl-carrier-protein] reductase FabG,0.651433775,7.629009974,18.47709912,0.006936509,0.069930594
Phage portal protein,0.929650026,10.60540196,18.44980105,0.006958268,0.069930594
Phosphoesterase,0.634978609,8.140590093,18.32975402,0.007055088,0.070273273
Tetronasin resistance protein,0.949025868,7.917664572,18.32871666,0.007055932,0.070273273
PreQ1 riboswitch,-0.756836708,5.187517836,18.26214868,0.007110435,0.070498528
mevalonate kinase,-0.903333442,6.877780767,18.21687211,0.007147838,0.070552987
D-alanyl-D-alanine carboxypeptidase family protein,0.639342644,7.985196991,18.07073906,0.007270433,0.071143462
nicotinamide riboside transporter PnuC,-0.804818291,4.443427859,18.06887926,0.007272014,0.071143462
DUF5683 domain-containing protein,-0.731993612,3.060680252,17.93824655,0.007384125,0.071828021
PTS mannose transporter subunit IIA,0.864978491,7.164722579,17.90046155,0.007416986,0.071828021
YfhO family protein,-0.761808757,3.853198104,17.86595483,0.007447186,0.071828021
DNA-formamidopyrimidine glycosylase,0.666368866,7.641050266,17.82526833,0.007483005,0.071828021
ammonia-dependent NAD(+) synthetase,0.721070532,8.224001761,17.80107439,0.00750442,0.071828021
DNA polymerase III subunit alpha,0.677321839,8.284099627,17.75899927,0.007541865,0.071875275
Cadmium-exporting ATPase,0.702604885,10.16303604,17.59216153,0.007692916,0.072756905
Antiseptic resistance protein,-0.68761764,6.526813951,17.56873555,0.00771446,0.072756905
Cilia- and flagella-associated protein 299,0.826322845,3.659527679,17.54854946,0.007733095,0.072756905
50S ribosomal protein L33,-0.7310069,8.655591977,17.46960659,0.007806555,0.073037842
5S ribosomal RNA,0.972353685,0.797386822,17.44653122,0.007829022,0.073037842
Levansucrase and sucrase synthesis operon antiterminator,-0.947747171,4.522711359,17.300286,0.007967415,0.073375801
Oligosaccharide biosynthesis protein Alg14,0.808095749,6.454692338,17.29024166,0.007977099,0.073375801
Type II toxin-antitoxin system PemK/MazF family toxin,-0.64443706,5.614108404,17.21972405,0.008045563,0.073375801
Putative sensor-like histidine kinase,0.628851225,4.793744122,17.21041229,0.008054664,0.073375801
BofC-C domain-containing protein,1.127996468,8.714603575,17.1676865,0.008096606,0.073375801
TFIIB-type domain-containing protein,-0.59872628,5.953368669,17.14535955,0.008118645,0.073375801
tRNA-Leu(cag),-0.878646162,2.519123489,17.09712404,0.008166779,0.073375801
mannitol-1-phosphate 5-dehydrogenase,0.875821912,7.777037056,17.03347783,0.008230339,0.073375801
PTS fructose transporter subunit IIC,-1.009047596,7.248619182,17.00926074,0.008254795,0.073375801
"HAD hydrolase, family IA, variant 3",0.744393074,5.274472417,16.9675966,0.008297107,0.073375801
NADP-specific glutamate dehydrogenase,-0.833137318,8.559993245,16.96365042,0.00830113,0.073375801
dihydroxyacetone kinase subunit DhaL,0.779713698,9.15917926,16.95279291,0.008312213,0.073375801
PRD domain-containing protein,-0.705477381,8.441812346,16.93330415,0.008332158,0.073375801
PTS mannitol transporter subunit IIA,0.651279278,3.737896146,16.8343292,0.008434482,0.073375801
Uroporphyrinogen-III methyltransferase,-0.683090629,5.442667978,16.82404358,0.008445212,0.073375801
IS6 family IS1216E transposase,1.517973574,9.705128378,16.81818419,0.008451335,0.073375801
tRNA-Asn(gtt),1.053665281,4.261271146,16.80996574,0.008459934,0.073375801
Geranyl transferase,0.844528263,6.597359579,16.76008418,0.008512379,0.073375801
PTS lactose transporter subunit IIB,0.961839326,8.131179939,16.73336411,0.008540658,0.073375801
Deoxyguanosine kinase,-0.808174793,6.234730684,16.71063432,0.008564817,0.073375801
Amidohydrolase,1.513550064,5.992161079,16.70405431,0.008571828,0.073375801
Sigma70-r4-2 domain-containing protein,-0.944142573,2.505564059,16.68226005,0.008595356,0.073375801
cell division regulator GpsB,-0.714337302,8.566493632,16.59941308,0.008684404,0.073470471
magnesium transporter,0.601350158,8.199028865,16.58953608,0.008695136,0.073470471
Phosphotransferase system PTS protein,0.917733428,6.973061948,16.57943053,0.008706134,0.073470471
Phenolic acid decarboxylase,-0.800474346,1.672249494,16.51044988,0.008782038,0.073829224
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,-0.728105639,3.989441826,16.4653143,0.008831689,0.073965392
PTS system mannose-specific transporter subunit IID,1.047317728,7.850637746,16.39598984,0.008909183,0.074332843
Phage holin,-0.671567265,4.587295188,16.31107112,0.009005403,0.07435664
glutamyl aminopeptidase,-1.151042848,9.233949546,16.29311109,0.009025936,0.07435664
Peptide chain release factor N(5)-glutamine methyltransferase,-1.511110384,5.116986659,16.21669904,0.00911403,0.07435664
Phosphatase,-0.758030879,5.500457687,16.20355589,0.009129301,0.07435664
Mga domain-containing protein,0.68228313,9.172001148,16.19489087,0.009139389,0.07435664
"Poly-beta-1,6-N-acetyl-D-glucosamine synthase",1.230316719,5.246235045,16.19238206,0.009142313,0.07435664
NAD-binding-9 domain-containing protein,0.623479509,7.743819558,16.18797834,0.009147447,0.07435664
PTS transporter,1.139121525,6.450131066,16.05144327,0.009308659,0.075077654
BglG family transcription antiterminator,1.005975747,11.43518237,16.03106076,0.009333062,0.075077654
phosphoenolpyruvate carboxykinase (ATP),0.716609089,8.39184689,16.0269318,0.009338017,0.075077654
Phosphotransferase,-0.749407822,6.054158086,15.90066597,0.009491295,0.076033524
Transglutaminase domain-containing protein,0.608441359,4.08904287,15.83637125,0.009570687,0.076392737
HTH domain-containing protein,-0.696526371,2.841775282,15.77622618,0.009645802,0.076679046
"IS1216, transposase",1.36440671,6.797223133,15.74310925,0.009687486,0.076679046
Coat F domain-containing protein,-1.230028901,-0.628112579,15.73277072,0.009710598,0.076679046
GDSL-like protein,-0.66237,6.524034006,15.6698004,0.009780688,0.076957657
Glucosamine-fructose-6-phosphate aminotransferase,1.168015604,8.466205318,15.57573249,0.009902111,0.077491875
Endolytic murein transglycosylase,-0.635487236,7.367705097,15.56302044,0.00991868,0.077491875
PTS ascorbate transporter subunit IIC,1.05276669,10.49531284,15.49592519,0.010006769,0.077591044
oleate hydratase,0.682065251,7.097601046,15.46048734,0.010053733,0.077591044
copper/silver-translocating P-type ATPase CopB,0.61174415,8.847363754,15.46005166,0.010054312,0.077591044
Conjugal transfer protein TraD,-0.792190166,1.536002116,15.44722295,0.010071746,0.077591044
"PTS system, beta-glucoside-specific, IIABC component",-0.971907907,8.026180096,15.40763134,0.01012435,0.077725475
phosphate ABC transporter permease PstA,0.615629325,7.123400572,15.22766324,0.010370007,0.079335934
CoA-disulfide reductase,0.576214533,5.242556115,15.15182773,0.010475998,0.079586347
Nuclease SbcCD subunit D,-0.64185547,6.523305497,15.14882119,0.01048023,0.079586347
R3H domain-containing protein,-0.616294315,8.218548826,15.11347697,0.010530169,0.079586347
LPXTG-domain-containing protein cell wall anchor domain,0.935081246,3.43821309,15.08529501,0.010570232,0.079586347
ZIP family metal transporter,-0.59299095,6.5303782,15.07653706,0.010582716,0.079586347
DUF3991 domain-containing protein,0.587693788,5.559667379,14.93473168,0.010787842,0.080853962
SlpA domain-containing protein,-1.245633996,9.424377647,14.89269584,0.010849705,0.081042901
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),1.325870923,12.2445872,14.85557968,0.010904738,0.081179716
"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)",-1.152148813,4.576491371,14.7822809,0.011014563,0.081658996
